Im	0 Desc.	Im.1	1 Asc.
10.106592	149.14243100000002	7.431245	155.279503
10.071666	136.612022	7.4479869999999995	158.102767
10.050933	141.442716	7.498167	149.365198
10.012841	143.06151599999998	7.535569000000001	150.943396
9.95622	142.755175	7.558039999999999	164.338537
9.926136	142.247511	7.586647999999999	158.227848
9.86763	135.961931	7.613796000000001	156.25
9.853867	142.247511	7.649713	152.09125500000002
9.826855	142.146411	7.639815	163.39869299999998
9.775183	136.14703899999998	7.691636	148.257969
9.745135000000001	142.85714299999998	7.717817999999999	167.22408000000001
9.716137	142.247511	7.7868710000000005	157.356412
9.675286999999999	135.961931	7.7994710000000005	156.862745
9.613792	135.961931	7.830536	165.425972
9.603958	134.861767	7.866339999999999	157.97788300000002
9.555189	130.97576899999999	7.9188350000000005	158.856235
9.510855000000001	142.450142	7.942622	157.232704
9.501623	135.869565	7.959194999999999	174.52007
9.421911	123.533045	7.987089999999999	165.837479
9.384458	137.174211	8.035727	158.102767
9.367919	136.23978200000002	8.061793	163.934426
9.338314	124.533001	8.070530999999999	167.364017
9.260703	136.14703899999998	8.117086	158.982512
9.26732	134.589502	8.15901	173.010381
9.224162	131.578947	8.180611	167.504188
9.184351	124.300808	8.220655	165.15276599999999
9.142624	129.533679	8.234486	166.112957
9.090008000000001	125.156446	8.267206	166.251039
9.04795	129.449838	8.296352	159.10898999999998
9.038895	130.208333	8.324259	183.99264
8.948733	119.83223500000001	8.356531	150.82956299999998
8.914781	129.617628	8.37562	185.873606
8.903815	119.976005	8.425753	165.016502
8.865758	124.300808	8.461994	166.944908
8.792869	124.68827900000001	8.49076	175.746924
8.779465	124.37810900000001	8.512171	165.289256
8.72757	119.976005	8.524699	176.67844499999998
8.688311	123.99256000000001	8.557374000000001	167.22408000000001
8.646017	124.76606399999999	8.592623	166.112957
8.60184	120.048019	8.638111	175.28483799999998
8.566147	115.074799	8.655700999999999	166.527893
8.521287	119.474313	8.671352	175.438596
8.472184	119.760479	8.714167	165.700083
8.44657	114.876508	8.758007000000001	175.28483799999998
8.376503	119.474313	8.762531	167.504188
8.365853	119.40298500000002	8.791862	175.746924
8.311468	119.688809	8.847517999999999	164.88046200000002
8.257534	111.172874	8.851204	168.350168
8.205797	106.837607	8.897401	175.28483799999998
8.163708	124.533001	8.909641	174.978128
8.122761	109.89011	8.954599	186.567164
8.02347	111.669458	8.997939	167.364017
8.026285000000001	110.375276	9.011014999999999	166.112957
7.9765179999999996	107.18113600000001	9.011532	186.046512
7.9467360000000005	110.497238	9.045394	186.39328999999998
7.8686869999999995	106.951872	9.088946	166.112957
7.865609	106.609808	9.112	176.211454
7.7735080000000005	110.803324	9.132577000000001	175.90149499999998
7.765332000000001	103.092784	9.169307	186.39328999999998
7.694413000000001	106.72358600000001	9.19893	175.90149499999998
7.663721000000001	103.199174	9.242775	175.90149499999998
7.62529	96.711799	9.271116000000001	187.265918
7.5428880000000005	103.199174	9.297236999999999	186.39328999999998
7.470864	99.55201600000001	9.316426	175.90149499999998
7.446574000000001	96.478534	9.334628	186.39328999999998
7.388971000000001	96.339114	9.359786	188.14675400000002
7.343995	93.632959	9.377929	186.39328999999998
7.293232000000001	93.327112	9.425322	166.527893
7.214036999999999	99.700897	9.428889999999999	197.628458
7.185345	90.826521	9.482826	176.67844499999998
7.110232000000001	93.153237	9.521778	187.793427
7.0697470000000004	93.153237	9.523677000000001	186.21973899999998
7.01116	90.95043199999999	9.556567999999999	176.211454
6.924091000000001	93.240093	9.591733999999999	186.74136299999998
6.901033	90.57970999999999	9.632968	186.21973899999998
6.840664	83.43763	9.666436000000001	176.52250700000002
6.792103	85.324232	9.685908	186.915888
6.7257869999999995	80.775444	9.717718	198.216056
6.666474000000001	80.71025	9.731593	187.265918
6.589952	80.97166	9.758128	186.567164
6.530506	78.70917	9.797696	187.265918
6.458508999999999	73.01935	9.818802999999999	176.211454
6.386326	74.65472199999999	9.81082	197.628458
6.332207	64.97725799999999	9.856282	187.265918
6.21695	69.80802800000001	9.904724	187.441425
6.121924	58.496635999999995	9.914926	176.211454
		9.965092	187.09073899999999
		10.010161	186.74136299999998
		9.989433	187.265918
		10.04354	198.216056
		10.063186	186.915888
		10.091894	199.600798
		10.109709	175.90149499999998
		10.113702	213.219616
		10.154853999999998	187.441425
		10.180665	197.823937
		10.200787	187.793427
		10.247683	186.915888
		10.280159	187.09073899999999
		10.298093	211.86440699999997
		10.328318	188.323917
		10.328919	186.567164
		10.380964	199.401795
		10.435145	187.09073899999999
		10.415774	199.004975
		10.459951	187.265918
		10.478514	212.314225
		10.517666	199.004975
		10.516697	187.969925
		10.552421	199.203187
		10.567131	198.80715700000002
		10.633579	187.793427
		10.650250999999999	198.019802
		10.635294	200.0
		10.704247	199.401795
		10.711851	199.004975
		10.730143	199.600798
		10.754889	187.09073899999999
		10.792536	198.412698
		10.832858	200.601805
		10.833517	198.80715700000002
		10.880303999999999	199.203187
		10.890553	213.219616
		10.927328999999999	187.441425
		10.928372	212.089077
		10.959023	200.601805
		10.99127	199.203187
