DCC_freq,tau_M,G_e,tau_e,Gin
3.0,3.0,0.2,0.01,0.41535981352565543
3.0,3.0,0.2,0.0075,0.4153598140478115
3.0,3.0,0.1,0.015,0.415358028025303
3.0,3.0,0.1,0.01,0.41535981300319386
3.0,3.0,0.1,0.0075,0.415359814047506
3.0,4.0,0.2,0.02,0.41139561626595644
3.0,4.0,0.2,0.013333333333333332,0.4114315887842833
3.0,4.0,0.2,0.01,0.41143172457465993
3.0,4.0,0.1,0.02,0.4113595137821668
3.0,4.0,0.1,0.013333333333333332,0.4114314524813707
3.0,4.0,0.1,0.01,0.4114317240620336
3.0,5.0,0.2,0.025,0.40879101349352975
3.0,5.0,0.2,0.016666666666666666,0.40911735394904947
3.0,5.0,0.2,0.0125,0.40912114706004127
3.0,5.0,0.1,0.025,0.4084613683047984
3.0,5.0,0.1,0.016666666666666666,0.40911351678350966
3.0,5.0,0.1,0.0125,0.4091211029335228
4.0,2.0,0.2,0.01,0.41725997644659785
4.0,2.0,0.2,0.006666666666666666,0.4172601272651188
4.0,2.0,0.2,0.005,0.4172601273013795
4.0,2.0,0.1,0.01,0.41725982559191654
4.0,2.0,0.1,0.006666666666666666,0.41726012722884925
4.0,2.0,0.1,0.005,0.4172601273013708
4.0,3.0,0.2,0.015,0.41133489482844054
4.0,3.0,0.2,0.01,0.4113725354988964
4.0,3.0,0.2,0.0075,0.4113726815596879
4.0,3.0,0.1,0.015,0.41129711447160205
4.0,3.0,0.1,0.01,0.41137238887123007
4.0,3.0,0.1,0.0075,0.4113726809927087
4.0,4.0,0.2,0.02,0.40789002840731964
4.0,4.0,0.2,0.013333333333333332,0.4084721470311558
4.0,4.0,0.2,0.01,0.40848131151735684
4.0,4.0,0.1,0.02,0.40730031086702845
4.0,4.0,0.1,0.013333333333333332,0.40846283839529784
4.0,4.0,0.1,0.01,0.4084811669435155
4.0,5.0,0.2,0.025,0.4037560614458258
4.0,5.0,0.2,0.016666666666666666,0.4066677125085311
4.0,5.0,0.2,0.0125,0.4067755923920111
4.0,5.0,0.1,0.025,0.4007771314500398
4.0,5.0,0.1,0.016666666666666666,0.4065558794106207
4.0,5.0,0.1,0.0125,0.40677157771506406
5.0,2.0,0.2,0.01,0.4137070764950408
5.0,2.0,0.2,0.006666666666666666,0.41371122394964593
5.0,2.0,0.2,0.005,0.41371122923438364
5.0,2.0,0.1,0.01,0.4137029238323314
5.0,2.0,0.1,0.006666666666666666,0.41371121865817384
